,id,city,latitude,longitude,name,state,county,is_village
85,403146,Chicago,41.808604,-87.659936,Back of the Yards,IL,Cook County,0
86,403148,Chicago,41.768105,-87.697919,Marquette Park,IL,Cook County,0
87,403151,Chicago,41.746316,-87.692415,Wrightwood,IL,Cook County,0
88,403159,Chicago,41.979538,-87.901073,O'Hare International Airport,IL,Cook County,0
89,403168,Chicago,41.97743,-87.815735,Oriole Park,IL,Cook County,0
90,403169,Chicago,42.002459,-87.696526,West Rogers Park,IL,Cook County,0
91,403255,Chicago,41.986693,-87.694344,Arcadia Terrace,IL,Cook County,0
92,403256,Chicago,41.987281,-87.704213,Peterson Park,IL,Cook County,0
93,403257,Chicago,41.987326,-87.653813,Edgewater Beach,IL,Cook County,0
94,403258,Chicago,41.992561,-87.665239,Edgewater Glen,IL,Cook County,0
95,403259,Chicago,41.987164,-87.665074,Magnolia Glen,IL,Cook County,0
96,403260,Chicago,41.979877,-87.661819,Lakewood - Balmoral,IL,Cook County,0
97,403261,Chicago,41.963488,-87.694532,Ravenswood Gardens,IL,Cook County,0
98,403262,Chicago,41.979403,-87.697889,Budlong Woods,IL,Cook County,0
99,403263,Chicago,41.983319,-87.681974,Bowmanville,IL,Cook County,0
100,403264,Chicago,41.958541,-87.648898,Buena Park,IL,Cook County,0
101,403265,Chicago,41.965331,-87.663518,Sheridan Park,IL,Cook County,0
102,403266,Chicago,41.973349,-87.649563,Margate Park,IL,Cook County,0
103,403267,Chicago,41.958024,-87.663051,Graceland West,IL,Cook County,0
104,403268,Chicago,41.986485,-87.717785,Hollywood Park,IL,Cook County,0
105,403269,Chicago,41.993604,-87.718993,Pulaski Park,IL,Cook County,0
106,403270,Chicago,41.983747,-87.730194,Brynford Park,IL,Cook County,0
107,403271,Chicago,41.975253,-87.738033,North Mayfair,IL,Cook County,0
108,403272,Chicago,41.980776,-87.736846,Sauganash Woods,IL,Cook County,0
109,403273,Chicago,41.977716,-87.736863,River's Edge,IL,Cook County,0
110,403274,Chicago,41.994321,-87.767974,Old Edgebrook,IL,Cook County,0
111,403275,Chicago,42.001393,-87.775377,Wildwood,IL,Cook County,0
112,403276,Chicago,41.990038,-87.815304,Norwood Park West,IL,Cook County,0
